customer_id,purchase_timestamp,purchase_value,loyalty_score
51,2022-04-01 11:10:36,224.13,6.34
94,2022-01-26 03:28:18,226.72,7.37
24,2022-01-22 11:10:38,276.97,2.49
100,2022-07-12 07:28:29,20.06,8.44
10,2022-10-03 14:51:13,117.04,2.08
56,2022-04-27 22:09:58,118.22,1.35
1,2022-03-27 07:54:08,204.03,9.24
90,2022-10-07 22:05:23,53.31,7.29
54,2022-02-25 07:47:26,134.37,3.21
70,2022-01-26 12:27:00,17.54,6.25
94,2022-06-03 19:47:18,435.52,4.41
63,2022-06-25 12:54:00,162.87,5.34
58,2022-11-21 14:34:36,235.4,1.86
17,2022-03-26 05:26:52,452.2,1.6
66,2022-05-09 21:28:55,495.28,3.93
84,2022-03-28 15:40:50,72.42,3.57
70,2022-02-18 20:58:55,297.92,7.31
74,2022-07-29 08:05:42,273.78,3.42
88,2022-06-28 11:50:25,230.88,9.63
43,2022-10-08 01:21:16,70.94,4.72
18,2022-12-24 20:48:30,238.64,8.35
32,2022-01-28 21:28:38,243.45,3.03
87,2022-07-31 11:28:58,93.24,2.75
81,2022-04-26 03:33:08,113.83,3.8
25,2022-06-14 21:18:26,455.63,7.5
95,2022-12-12 08:53:09,281.8,7.73
24,2022-04-20 15:21:03,490.25,5.3
26,2022-11-05 05:54:57,250.79,5.7
26,2022-08-05 22:14:26,260.52,5.43
4,2022-10-09 19:33:25,48.91,7.58
51,2022-11-08 05:53:17,490.78,2.71
5,2022-12-17 14:26:34,25.25,7.65
96,2022-06-16 02:27:55,477.23,8.93
85,2022-12-06 18:01:40,442.45,5.2
68,2022-03-16 05:21:25,305.78,1.69
6,2022-07-21 19:59:00,420.15,3.51
74,2022-10-12 00:53:36,336.57,8.09
76,2022-07-16 11:59:26,262.35,5.82
97,2022-10-21 16:37:01,461.44,6.25
68,2022-06-07 14:37:19,155.67,1.83
20,2022-02-26 00:00:46,85.69,1.23
27,2022-08-28 03:06:44,243.48,9.97
47,2022-12-27 03:46:30,340.32,3.34
13,2022-07-30 16:11:05,32.37,2.26
